Ecosystem	Package	Version	Scope	License	License files	Source
cargo	num_enum_derive	0.7.6	cargo-lock	BSD-3-Clause OR MIT OR Apache-2.0		https://github.com/illicitonion/num_enum
cargo	objc2	0.6.4	cargo-lock	MIT		https://github.com/madsmtm/objc2
cargo	objc2-app-kit	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-cloud-kit	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-core-data	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-core-foundation	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-core-graphics	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-core-image	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-core-location	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-core-text	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-encode	4.1.0	cargo-lock	MIT		https://github.com/madsmtm/objc2
cargo	objc2-exception-helper	0.1.1	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-foundation	0.3.2	cargo-lock	MIT		https://github.com/madsmtm/objc2
cargo	objc2-io-surface	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	objc2-quartz-core	0.3.2	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
